Date,Time,SO2,NO,NO2,NOX,CO,O3,PM25,PM10,Temperature,RH,Solar Rad,BP,Rain
2016-10-01,1,0.57,13.84,9.22,23.06,1.76,1.12,,124.34,29.48,80.56,7.99,1006.15,
2016-10-01,2,0.29,17.45,11.89,29.34,1.67,1.03,,69.42,29.01,82.86,8.06,1006.05,
2016-10-01,3,0.07,12.93,6.2,19.13,1.6,1.13,,83.36,28.84,83.68,8.19,1006.01,0.02
2016-10-01,4,0.08,9.69,0.92,10.61,1.54,1.05,,60.51,28.75,84.18,8.18,1006.14,
2016-10-01,5,0.07,,,1.97,1.48,0.99,,43.51,28.53,85.12,8.2,1006.36,
2016-10-01,6,1.08,,,,1.44,1.2,,26.87,27.98,83.48,8.35,1006.71,
2016-10-01,7,0.2,,2.09,,1.66,1.24,,23.5,27.01,82.81,13.69,1007.36,0.08
2016-10-01,8,0.12,,3.23,2.62,2.05,0.97,,41.22,26.87,85.8,48.36,1007.73,
2016-10-01,9,0.27,39.83,10.66,50.49,2.33,1.09,,49.47,28.33,83.92,211.88,1008.16,
2016-10-01,10,0.28,36.28,20.22,56.51,2.07,1.1,,66.98,30.46,76.01,550.7,1008.35,
2016-10-01,11,0.33,46.5,30.39,76.89,2.2,0.82,,101.93,31.19,71.77,459.63,1008.26,
2016-10-01,12,,24.95,46.87,71.82,1.91,1.54,,183.43,32.32,65.36,758.1,1007.83,
2016-10-01,13,,13.4,52.31,65.7,1.73,1.61,,157.72,32.91,62.56,522.61,1006.78,
2016-10-01,14,0.11,38.27,49.8,88.07,1.81,0.9,,115.92,31.74,68.13,151.19,1005.8,0.02
2016-10-01,15,0.34,18.06,30.54,48.6,1.79,1.62,,148.36,29.9,74.41,68.21,1005.17,0.02
2016-10-01,16,0.7,22.11,21.19,43.3,1.87,1.25,,162.42,29.47,72.87,79.13,1004.81,
2016-10-01,17,0.96,28.06,20.64,48.7,1.99,1.22,,210.87,30.31,70.26,76.61,1004.59,
2016-10-01,18,1.29,42.79,22.71,65.5,2.28,0.91,,242.56,30.63,69.72,31.46,1004.99,
2016-10-01,19,1.14,86.99,20.98,107.96,2.68,0.91,,328.14,30.28,72.06,7.95,1005.9,
2016-10-01,20,3.09,118.69,22.27,140.96,3.27,1.18,,168.67,30.1,74.34,8.24,1006.92,
2016-10-01,21,3.39,89.24,20.04,109.28,3.6,1.26,,257.17,30.26,74.23,8.04,1007.67,
2016-10-01,22,3.75,190.42,21.88,212.31,4.3,1.24,,232.92,30.32,75.2,8.43,1008.04,
2016-10-01,23,1.19,85.29,16.72,102.02,2.98,1.19,,400.6,30.15,76.16,8.19,1008.28,0.02
2016-10-01,0,0.42,34.82,9.01,43.83,2.11,1.08,,256.81,29.23,82.45,8.07,1008.54,
2016-10-02,1,0.35,35.26,6.61,41.87,1.91,1.02,,163.81,28.74,85.87,8.16,1008.24,
2016-10-02,2,0.57,27.74,4.53,32.27,1.89,1.09,,124.74,28.56,87.28,7.97,1008.29,
2016-10-02,3,12.3,28.35,3.36,31.72,1.96,0.68,,155.8,28.46,88.15,8.3,1008.46,
2016-10-02,4,10.35,13,5.07,18.07,1.77,0.63,,145.77,28.17,88.82,8.55,1008.14,
2016-10-02,5,6.49,22.87,34.75,57.62,1.74,0.6,,73.08,28.12,88.77,8.6,1008.5,
2016-10-02,6,3.44,33.57,103.98,137.55,1.65,0.52,,74.88,28.12,88.15,9.66,1009.4,
2016-10-02,7,,48.4,10.88,59.28,1.89,0.82,,38.89,28.35,86.77,45.23,1009.87,
2016-10-02,8,,29.64,9.45,39.09,1.77,0.94,,104.75,29.1,83.08,140.06,1010.44,
2016-10-02,9,1.15,19.62,10.29,29.91,1.69,0.98,,95.95,29.5,80.64,212.33,1010.71,
2016-10-02,10,1.11,3.15,7.45,10.6,1.5,1.1,,92.69,30.64,76.39,338.83,1010.84,
2016-10-02,11,,,6.81,5.27,1.54,1.23,,39,30.79,72.09,121.6,1010.74,
2016-10-02,12,0.29,9.46,14,23.46,1.93,1.29,,40.4,29.47,76.91,130.36,1010.13,
2016-10-02,13,0.24,11.76,15.7,27.45,2.02,1.48,,86.06,29.97,74.91,203.77,1009.06,
2016-10-02,14,1.37,3.1,10.98,14.08,1.68,2.08,,87.1,31.32,66.82,355.48,1007.86,
2016-10-02,15,3.15,2.99,13.7,16.69,1.63,2.58,,57.12,32.16,64.67,470.76,1006.78,
2016-10-02,16,0.72,4,16.7,20.71,1.64,2.35,31,61.23,32.19,65.52,275.94,1005.72,
2016-10-02,17,0.12,11.67,22.54,34.21,1.76,1.63,,70.69,31.42,68.14,98.92,1005.59,
2016-10-02,18,0.06,17.73,25.82,43.55,1.89,1.3,,122.09,30.88,69.51,24.81,1005.85,
2016-10-02,19,1.98,6.56,18.63,25.19,2,2.18,,124.81,29.75,78.53,8.27,1006.08,
2016-10-02,20,0.74,17.82,17,34.82,2.29,1.08,,119.08,29.3,82.65,8.08,1006.69,
2016-10-02,21,0.38,27.85,14.6,42.45,2.19,1.01,,161.23,29.17,84.4,8.14,1007.26,
2016-10-02,22,1.26,39.35,10.4,49.75,2.15,1.01,,211.31,29.02,85.94,8.34,1007.75,
2016-10-02,23,,42.38,10.33,52.71,2.07,1.01,,151.56,29.08,83.51,8.1,1007.79,
2016-10-02,0,0.07,32.97,7.36,40.33,1.81,1.01,,135.84,28.97,82.28,8.16,1007.58,
2016-10-03,1,0.61,45.08,6.27,51.36,1.8,1.07,,87.65,28.61,84.48,8.04,1007.26,
2016-10-03,2,0.39,49.95,9.71,59.67,1.66,0.92,,109.36,28.44,84.33,8.14,1007.15,
2016-10-03,3,0.45,64.95,17.61,82.57,1.73,1,,123.98,28.45,82.3,8.09,1006.87,
2016-10-03,4,0.37,64.92,8.84,73.75,1.67,0.9,,188.97,28.38,82.15,7.97,1006.71,
2016-10-03,5,0.9,82.32,14.61,96.93,1.77,0.98,,157.83,28.23,83.04,7.96,1006.72,
2016-10-03,6,0.24,56.19,12.93,69.12,1.69,0.93,,149.94,28.11,83.83,10.43,1007.2,
2016-10-03,7,0.82,51.61,7.83,59.44,1.86,0.92,,78.09,28.51,84.01,78.7,1007.76,
2016-10-03,8,0.6,16.54,12.83,29.37,1.65,1.23,,81.07,29.8,78.43,231.36,1008.37,
2016-10-03,9,1.41,28.71,12.86,41.57,1.66,1.41,,50.67,30.67,72.82,459.93,1008.84,
2016-10-03,10,0.28,,7.11,5.19,1.54,4.54,,73.62,32.25,70.11,626.25,1008.73,
2016-10-03,11,4.98,,4.24,1.04,1.56,7.14,,61.77,32.72,67.68,434.62,1007.97,
2016-10-03,12,1.12,,9.72,5.3,1.62,5.79,,54.17,33.57,62.65,613.14,1007.31,
2016-10-03,13,0.9,,30.2,26.52,1.63,6.92,,60.94,33.57,62.25,441.61,1006,
2016-10-03,14,0.16,,10.66,5.49,1.59,10.23,,58.97,33.6,60.6,286.18,1004.81,0.12
2016-10-03,15,,,16.39,16.03,1.73,7.15,,59.23,31.87,65.92,202.81,1004.14,
2016-10-03,16,0.06,9.14,19.79,28.93,1.75,3.79,,111,30.62,69.73,120.59,1003.07,0.02
2016-10-03,17,0.49,9.91,20.06,29.96,1.76,3.13,,111.89,30.64,68.37,155.37,1002.47,0.02
2016-10-03,18,2.32,21.14,20.1,41.24,2.07,1.27,,145.21,30.54,71.55,29.37,1002.28,
2016-10-03,19,5.56,37.27,20.1,57.38,2.23,1.26,43.82,153.08,30.43,72.95,8.15,1003.16,
2016-10-03,20,3.03,21.85,23.99,45.84,2.33,0.91,,189.72,30.42,73.84,8.35,1004.31,
2016-10-03,21,0.76,70.3,20.36,90.66,2.89,1.11,,149.68,30.1,77.08,8.28,1005.15,
2016-10-03,22,0.06,70.79,19.54,90.33,2.73,1.04,,305.2,29.99,78.39,8.38,1005.5,
2016-10-03,23,0.34,64.01,16.06,80.06,2.49,1.34,,280.33,29.52,81.01,8.41,1005.36,
2016-10-03,0,0.33,50.91,14.22,65.12,2.3,1.12,,259.14,29.26,83.96,8.2,1005.39,
2016-10-04,1,0.26,48.64,12.31,60.96,2.19,0.99,,297.86,29.14,84.67,8.18,1005.14,
2016-10-04,2,,44.38,9.27,53.65,1.93,0.98,,256.42,28.97,85.67,8.02,1004.52,
2016-10-04,3,0.69,92.17,9.46,101.63,2.12,1.15,,190.17,29.01,85.79,8.09,1004.44,
2016-10-04,4,0.45,39.92,8.85,48.77,1.92,1.11,,195.3,28.87,85.7,8.09,1004.54,
2016-10-04,5,0.59,29,7.84,36.85,1.84,0.93,,164.46,28.46,86.71,8.31,1004.26,
2016-10-04,6,0.18,32.97,5.93,38.89,1.96,0.99,,113.52,28.37,87.55,9.21,1004.86,
2016-10-04,7,0.69,43.94,6.24,50.18,2.37,1.13,,131.55,28.6,87.82,50.11,1005.52,
2016-10-04,8,0.97,61.89,11.92,73.81,2.39,0.91,,152.01,30.04,84.59,214.77,1006.22,
2016-10-04,9,0.73,21.21,13.34,34.55,2.04,1.67,,217.62,31.77,75.34,432.66,1006.57,
2016-10-04,10,1.15,,14.67,12.35,1.94,5.01,,138.34,33.28,66.96,501.56,1006.61,
2016-10-04,11,,,9.46,3.39,1.71,9.18,,87.72,32.91,67.51,410.83,1006.38,
2016-10-04,12,,,7.01,1.5,1.6,14.85,,78.47,34.34,58.61,710.4,1005.41,
2016-10-04,13,,,3.9,0.23,1.5,17.91,,86.33,35.35,54.27,832.8,1004.29,
2016-10-04,14,,,,,,,,,36.02,51.26,783.3,1003.07,0.02
2016-10-04,15,,,,,,,44.64,,35.99,49.65,564.76,1002.15,
2016-10-04,16,,,,,,,45.33,,35.66,50.89,401.27,1001.47,
2016-10-04,17,,,,,,,,,34.94,55.13,208.69,1001.3,
2016-10-04,18,,,,,,,,,32.96,63.28,23.28,1001.44,
2016-10-04,19,,,,,,,37.3,,31.97,67.76,8.23,1002.02,
2016-10-04,20,,,,,,,48.44,,31.39,72.98,8.23,1002.92,
2016-10-04,21,,,,,,,64.95,,30.7,76.09,8.28,1004.16,
2016-10-04,22,,,,,,,62.84,,30.16,76.33,8.23,1004.68,
2016-10-04,23,,,,,,,56.81,,29.75,78.64,8.01,1004.26,
2016-10-04,0,,,,,,,50.18,,29.57,79.77,8.26,1004.37,
2016-10-05,1,,,,,,,57.03,,29.33,81.02,8.38,1004.58,
2016-10-05,2,,,,,,,59.54,,28.95,83.14,8.19,1004.17,
2016-10-05,3,,,,,,,116.71,,28.61,85.64,8.21,1003.91,
2016-10-05,4,,,,,,,105.06,,28.38,86.74,8.31,1003.64,
2016-10-05,5,,,,,,,69.86,,28.53,83.98,8.2,1004.72,0.02
2016-10-05,6,,,,,,,64.37,,27.64,79.96,8.2,1004.85,
2016-10-05,7,,,,,,,40.76,,27.83,78.76,22.4,1005.17,
2016-10-05,8,,,,,,,31.81,,27.72,78.43,32.79,1006.09,
2016-10-05,9,,,,,,,24.71,,27.61,78.74,104.76,1006.66,
2016-10-05,10,,,,,,,14.14,,28.65,74.54,302.18,1006.38,
2016-10-05,11,,,,,,,19.08,,30.24,66.97,432.43,1005.72,
2016-10-05,12,,,,,,,24.16,,31.04,64.62,390.06,1005.18,
2016-10-05,13,,,,,,,30.13,,31.18,64.18,424.79,1004.26,
2016-10-05,14,,,,,,,34.84,68.42,32.7,59.26,686.76,1002.76,
2016-10-05,15,,,,,,,29.91,53.86,32.61,58.46,450.68,1001.7,
2016-10-05,16,,,,,,,27.03,49.19,31.75,63.32,203.02,1001.45,
2016-10-05,17,,,,,,,27.94,56,31.62,64.07,89.5,1001.49,
2016-10-05,18,,,,,,,26.26,56.28,31,66.07,13.95,1001.58,
2016-10-05,19,,,,,,,34.09,66.19,30.62,68.23,7.98,1001.95,
2016-10-05,20,,,,,,,37.24,73.67,30.49,70.73,8.04,1003.14,
2016-10-05,21,,,,,,,45.21,97.39,30.11,72.08,8.12,1004.06,
2016-10-05,22,,,,,,,51.76,110.36,29.66,75.5,8.07,1004.62,
2016-10-05,23,,,,,,,44.29,88.58,29.26,78.73,8.26,1005.14,
2016-10-05,0,,,,,,,52.63,108.39,28.9,81.24,8.37,1005.57,
2016-10-06,1,,,,,,,41,86.78,28.89,79.33,8.23,1005.09,
2016-10-06,2,,,,,,,41.12,79,28.61,80.72,8.34,1004.63,
2016-10-06,3,,,,,,,45.2,,28.15,83.57,8.36,1004.24,
2016-10-06,4,,,,,,,55,83.09,28.01,85.2,8.26,1004.41,
2016-10-06,5,,,,,,,54.68,85.53,27.91,86.32,8.21,1004.38,
2016-10-06,6,,,,,,,44.94,68.72,27.91,86.23,9.2,1005.02,
2016-10-06,7,,,,,,,44.22,60.75,28.37,83.46,38.04,1005.79,0.02
2016-10-06,8,,,,,,,81.41,120.42,28.8,81.24,104.49,1006.82,0.02
2016-10-06,9,,,,,,,30.54,64.14,27.09,83.37,113.27,1007.52,3.2
2016-10-06,10,,,,,,,15.68,33.64,26.84,84.34,194.2,1007.62,0.19
2016-10-06,11,,,,,,,6.37,21.31,27.78,81.14,181.59,1007.91,
2016-10-06,12,,,,,,,18.86,32.84,26.9,84.48,122.88,1007.4,0.29
2016-10-06,13,,,,,,,46.31,61.94,26.79,84.52,128.44,1006.46,0.41
2016-10-06,14,,,,,,,55.97,94.25,27.27,86.09,182.79,1005.25,0.19
2016-10-06,15,,,,,,,55.05,68.37,29.16,82.14,300.2,1004.16,
2016-10-06,16,,,,,,,56.73,82.83,30.39,73.5,198.64,1003.52,0.02
2016-10-06,17,,,,,,,46.2,78.94,30.11,77.03,123.36,1003.29,
2016-10-06,18,,,,,,,54.5,107.06,29.53,78.82,25,1003.56,
2016-10-06,19,,,,,,,73.53,165.17,28.89,81.98,8.15,1004.21,
2016-10-06,20,,,,,,,93.75,194.19,28.6,83.83,7.76,1004.95,
2016-10-06,21,,,,,,,85.02,145.99,28.63,83.59,7.88,1005.4,
2016-10-06,22,,,,,,,123.39,201.38,28.71,82.37,8.07,1005.39,
2016-10-06,23,,,,,,,138,211.44,28.6,82.08,8.06,1005.81,
2016-10-06,0,,,,,,,137.69,197.7,28.33,83.86,8,1006.19,
2016-10-07,1,,,,,,,126.39,257.24,28.22,84.99,7.81,1006.03,
2016-10-07,2,,,,,,,108.64,232.72,28.11,85.99,7.77,1005.84,
2016-10-07,3,,,,,,,128.8,259.57,28.07,86.95,7.93,1005.45,
2016-10-07,4,,,,,,,159.3,301.6,27.99,87.26,7.82,1005.16,
2016-10-07,5,,,,,,,132.26,264.57,28.11,86.97,7.69,1005.62,
2016-10-07,6,,,,,,,149.08,306.51,28.25,86.21,8.33,1006.34,
2016-10-07,7,,,,,,,113.6,205.26,27.54,85.57,19.27,1006.91,0.41
2016-10-07,8,,,,,,,57.95,72.08,27.03,85.89,54.33,1008.02,
2016-10-07,9,,,,,,,17.53,20.57,27.48,84.27,118.72,1008.66,
2016-10-07,10,,,,,,,37.45,63.09,27.72,80.75,228.09,1008.73,
2016-10-07,11,,,,,,,15.95,37.6,28.37,79.68,442.74,1008.24,
2016-10-07,12,,,,,,,13.97,26.79,29.75,73.06,758.7,1007.07,
2016-10-07,13,,,,,,,12.97,20.89,30.26,69.42,618.05,1005.87,
2016-10-07,14,,,,,,,11.15,18.33,30.96,66.45,778.49,1004.96,
2016-10-07,15,,,,,,,17.15,27.45,31.16,66.48,446.5,1004.58,0.02
2016-10-07,16,,,,,,,23.05,39.92,30.52,70.06,190.14,1004.06,
2016-10-07,17,,,,,,,24.76,37.9,30.36,71.79,133.1,1003.87,
2016-10-07,18,,,,,,,16,35.1,29.7,74.98,23.67,1004.37,
2016-10-07,19,,,,,,,16.18,38.14,29.34,76.25,7.96,1005.15,
2016-10-07,20,,,,,,,23.42,43.26,29.12,77.81,7.98,1006.18,
2016-10-07,21,,,,,,,38.87,77.3,29.01,77.71,7.88,1007.13,
2016-10-07,22,,,,,,,34.15,58.38,28.84,79.41,7.88,1007.56,
2016-10-07,23,,,,,,,40.44,69.7,28.69,80.4,8,1007.51,
2016-10-07,0,,,,,,,57.37,89.77,28.5,81.69,8.03,1007.68,
2016-10-08,1,,,,,,,70.85,110.23,28.29,83.23,8.24,1007.79,
2016-10-08,2,,,,,,,64.98,89.07,28.09,84.33,7.75,1007.28,
2016-10-08,3,,,,,,,64.03,91.22,28.08,84.9,7.82,1006.88,
2016-10-08,4,,,,,,,65.05,96.96,27.93,85.49,7.91,1006.48,
2016-10-08,5,,,,,,,67.26,94.52,27.72,86.12,7.88,1006.34,
2016-10-08,6,,,,,,,76.68,108.09,27.63,87.11,8.98,1006.82,
2016-10-08,7,,,,,,,65.32,81.99,27.8,87.82,36.25,1007.55,
2016-10-08,8,,,,,,,39.69,53.74,28.7,86.32,181.83,1008.51,
2016-10-08,9,,,,,,,28.44,47.87,29.75,79.28,288.57,1009.02,
2016-10-08,10,,,,,,,44.89,71.93,30.39,75.02,349.24,1008.57,
2016-10-08,11,,,,,,,37.81,69.56,31.24,68.72,405.8,1007.98,
2016-10-08,12,,,,,,,31.16,58.44,31.19,68.05,228.23,1007.07,
2016-10-08,13,,,,,,,37.31,71.01,31.38,66.17,176.14,1006.03,
2016-10-08,14,,,,,,,48.87,98.9,31.58,63.9,137.32,1005.11,
2016-10-08,15,,,,,,,43.53,95.69,30.48,70.92,84.11,1004.46,0.15
2016-10-08,16,,,,,,,25.94,83.79,30.31,71.41,143.54,1004.38,
2016-10-08,17,,,,,,,21.79,77.17,30.25,69.9,81.55,1004.97,
2016-10-08,18,,,,,,,14.24,52.49,29.78,73.75,16.85,1005.32,
2016-10-08,19,,,,,,,22.87,71.36,29.4,76.26,7.9,1005.71,
2016-10-08,20,,,,,,,18.94,51.92,29.11,78.1,7.69,1006.24,
2016-10-08,21,,,,,,,17.19,49.06,28.91,79.17,7.88,1007,
2016-10-08,22,,,,,,,23.24,52.08,28.72,79.81,7.89,1007.52,
2016-10-08,23,,,,,,,30.88,89.5,28.44,82.45,7.77,1007.57,
2016-10-08,0,,,,,,,27,72.14,28.3,83.5,8.11,1007.48,
2016-10-09,1,,,,,,,27,76.58,28.23,83.91,8.02,1006.8,
2016-10-09,2,,,,,,,26.65,61.5,28.13,83.5,7.74,1006.05,
2016-10-09,3,,,,,,,16.06,43.94,27.98,84.21,7.96,1005.79,
2016-10-09,4,,,,,,,18.03,41.94,27.9,84.69,8.08,1005.86,
2016-10-09,5,,,,,,,18.83,39.83,27.85,85.04,7.87,1005.72,
2016-10-09,6,,,,,,,14.04,34.03,27.79,85.38,9.73,1005.6,
2016-10-09,7,,,,,,,16.03,35.33,28.25,84.17,70.81,1006.21,
2016-10-09,8,,,,,,,17.8,47.89,29.17,78.36,203.61,1006.77,
2016-10-09,9,,,,,,,41.79,78.89,30.71,71.28,497.55,1007.2,
2016-10-09,10,,,,,,,34.81,74.89,30.74,68.94,322.35,1007.27,
2016-10-09,11,,,,,,,28.79,70.58,28.8,80.29,498.89,1007.07,0.19
2016-10-09,12,,,,,,,21.87,55.56,30.67,72.53,438.99,1006.28,
2016-10-09,13,,,,5.35,,,18.79,40.9,30.29,74.18,311.27,1005.08,
2016-10-09,14,0.39,,13.71,12.05,1.96,2.58,44,71.23,31.71,69.09,439.28,1003.66,
2016-10-09,15,0.17,,6.26,2.84,1.62,4.34,43.16,78.3,32.92,58.31,571.58,1002.61,0.03
2016-10-09,16,0.26,4.48,7.86,12.34,1.64,3.33,16.93,53.84,32.87,58.81,461.64,1002.43,
2016-10-09,17,1.14,1.87,9.68,11.55,1.69,3.08,15.03,45.63,30.69,70.1,50.74,1002.87,0.02
2016-10-09,18,0.3,9.96,10.41,20.37,1.72,1.85,16.1,66.51,29.01,75.87,11.7,1003.15,0.03
2016-10-09,19,0.28,7.62,9.81,17.43,1.8,1.42,18.97,50.37,29.21,75.19,8.3,1003.72,0.02
2016-10-09,20,0.98,,6.96,6.29,1.75,1.86,17.97,62.51,29.35,73.84,7.87,1004.69,0.02
2016-10-09,21,0.75,14.07,10.19,24.3,1.82,1.46,17.17,46.03,29.34,75.22,8.04,1005.11,
2016-10-09,22,0.87,52.79,13.3,66.09,2.18,1.11,22.55,47.99,29.14,77.48,7.97,1005.24,
2016-10-09,23,0.66,16.14,10.11,26.25,1.79,1.22,39.46,80.67,28.99,79.64,7.99,1005.09,0.02
2016-10-09,0,1.06,7.25,7.41,14.66,1.68,1.38,22.89,61.97,28.65,82.18,7.97,1004.64,
2016-10-10,1,0.59,0.94,5.72,6.66,1.57,1.6,18.03,59.45,28.37,83.98,8.07,1004.59,0.02
2016-10-10,2,0.32,0.46,16.85,17.31,1.55,1.49,18.97,40.97,28.2,83.86,8.17,1004.03,
2016-10-10,3,0.15,,2.89,1.7,1.53,1.26,17.87,39.95,28.03,83.62,8.4,1003.41,
2016-10-10,4,0.31,,7.08,5.54,1.52,1.19,14.19,37.94,27.96,83.72,8.24,1003.24,
2016-10-10,5,0.32,4.9,13.59,18.5,1.57,1.54,20.24,36.64,27.86,84.3,8.33,1003.46,
2016-10-10,6,1.31,21.21,10.32,31.53,1.8,1.18,32.8,58.66,27.87,85.56,11.16,1003.99,
2016-10-10,7,0.67,16.28,10.05,26.33,1.82,1.39,56.71,80.74,28,86.06,64.73,1004.57,
2016-10-10,8,0.45,19.89,11.86,31.76,1.84,1.16,47.71,72.28,28.84,82.89,209.69,1005.04,
2016-10-10,9,,,,,,,,,,,,,
2016-10-10,10,,,,,,,,,,,,,
2016-10-10,11,1.26,,3.87,4.78,1.69,2.5,,,31.84,62.92,623.38,1005.47,0.02
2016-10-10,12,5.71,,8,7.88,1.67,3.55,16.95,57.87,32.21,59.79,645.64,1004.18,0.02
2016-10-10,13,3.44,0.14,11.79,11.92,1.75,3.12,15.53,54.07,31.8,63.45,358.43,1003.26,
2016-10-10,14,1.03,,8.93,7.93,1.76,4.64,32,86.95,31.38,66.25,356.79,1002.33,0.02
2016-10-10,15,2.13,,6.31,3.83,1.71,5,,84,30.51,69.35,222.38,1001.8,0.02
2016-10-10,16,4.17,,8.64,8.45,1.75,3.7,16.03,49.08,30.09,71.26,108.15,1002.1,0.02
2016-10-10,17,2.99,,6.44,5.13,1.71,4.24,16.85,51.95,29.44,73.85,59.32,1002.26,0.02
2016-10-10,18,2.42,,6.12,4.62,1.7,3.56,12.15,50.37,28.93,76.18,14.5,1002.87,
2016-10-10,19,2,,6.06,5.47,1.67,3.33,17.13,61.51,28.5,76.94,7.94,1003.58,0.02
2016-10-10,20,5.21,,5.4,2.24,1.69,3.02,20.87,46.03,28.31,78.27,7.77,1004.65,
2016-10-10,21,2.8,,5.92,4.51,1.68,2.66,17,46.83,28.39,78.86,7.84,1005.39,0.02
2016-10-10,22,1.67,0.9,7.52,8.41,1.67,2.23,17,41.14,28.29,79.21,7.87,1005.58,0.02
2016-10-10,23,0.59,0.34,10.55,10.89,1.67,1.94,16.94,46.03,28.17,80.67,7.87,1005.74,0.03
2016-10-10,0,1.27,1.49,14.53,16.02,1.6,2.38,15.06,46.75,28.01,80.23,7.63,1005.59,0.03
2016-10-11,1,1.93,,5.93,5.88,1.54,3.63,16.84,38.34,27.29,78.24,7.59,1005.04,0.02
2016-10-11,2,1.23,,2.47,0.24,1.44,4.28,11.97,48.45,26.8,80.61,7.49,1004.2,0.03
2016-10-11,3,1.81,,1.76,0.27,1.46,4.34,11,29.78,26.51,79.83,7.86,1003.69,0.02
2016-10-11,4,1.88,,1.43,,1.43,4.43,11.03,22.16,26.39,80.74,7.57,1002.86,0.03
2016-10-11,5,1.57,,5.56,2.08,1.39,2.66,12.03,27,26.6,79.91,7.82,1002.83,0.02
2016-10-11,6,1.64,3.52,13,16.52,1.44,1.17,13.84,28.02,26.87,79.41,9.48,1003.64,0.03
2016-10-11,7,2.92,9.56,13.05,22.61,1.45,0.99,41.44,69.68,26.81,80.36,27.84,1004.71,0.02
2016-10-11,8,3.9,8.93,12.46,21.39,1.51,1.08,25.03,58.62,26.56,84.04,89.16,1005.38,0.11
2016-10-11,9,2,13.52,12.85,26.37,1.63,1.28,25.82,42.93,27.37,81.52,225.59,1005.94,0.03
2016-10-11,10,2.05,14.79,25.77,40.56,1.7,1.22,20.26,40.79,28.56,75.2,332.82,1006.03,0.04
2016-10-11,11,2.03,6.48,10.99,17.47,1.76,1.75,28.81,65.47,28.61,74.55,297.85,1005.69,0.02
2016-10-11,12,2.14,5.27,11.01,16.28,1.77,2.07,23.22,47.36,28.97,73.05,326.94,1004.76,0.04
2016-10-11,13,0.94,3.02,8.37,11.4,1.64,2.54,29.79,59.92,28.84,74.94,306.53,1003.78,0.21
2016-10-11,14,1.56,3.02,8.71,11.73,1.6,2.79,22.73,56.8,29.24,71.99,424.36,1002.89,0.02
2016-10-11,15,1.85,1.78,8.29,10.07,1.57,2.57,14.97,50.85,29.24,70.85,125.98,1002.21,0.04
2016-10-11,16,2.11,3.33,14.78,18.11,1.65,2.38,14.14,45.97,28.02,77.15,106.52,1001.82,0.16
2016-10-11,17,2.52,0.05,10.23,10.28,1.66,2.74,18,45.28,27.85,76.81,47.33,1002.2,0.04
2016-10-11,18,1.8,,9.6,8.41,1.68,2.55,17.8,53.65,27.33,78.72,10.1,1002.94,0.03
2016-10-11,19,1.72,2.6,10.72,13.32,1.68,1.53,11.27,43.03,27.31,78.04,7.46,1003.4,0.03
2016-10-11,20,2.22,,8.7,7.3,1.64,2.24,18.76,43.66,26.59,79.83,6.93,1004.13,0.02
2016-10-11,21,4.07,,11.45,11.42,1.52,1.51,10.93,32.53,25.63,84.05,7.25,1004.65,0.03
2016-10-11,22,2.31,4.57,15.54,20.11,1.52,0.97,9.38,18.54,25.96,82.88,7.54,1004.79,
2016-10-11,23,2.21,14.79,17.09,31.87,1.54,0.88,21.06,35.25,26.08,82.87,7.29,1004.46,0.02
2016-10-11,0,1.61,20.53,18.85,39.38,1.56,0.89,25.18,46.34,26.18,82.81,7.81,1004.23,0.02
2016-10-12,1,0.33,5.97,16.99,22.96,1.57,0.95,30.91,56.39,25.88,83.93,7.78,1003.71,0.08
2016-10-12,2,0.63,3.31,14.4,17.71,1.58,0.98,26.69,36.72,25.82,86.04,7.76,1003.11,0.03
2016-10-12,3,1.93,,10.71,10.18,1.6,1.17,16,28.16,25.92,84.47,7.66,1002.57,0.03
2016-10-12,4,2.02,,7.95,4.9,1.61,1.15,15.94,32.55,25.45,84.02,8,1002.33,
2016-10-12,5,1.73,,4.13,0.64,1.63,1.55,14.05,19.03,25.18,83.69,8.04,1002.15,
2016-10-12,6,1.5,,1.9,,1.63,1.53,16.82,19.81,25.08,83.99,8.77,1002.67,
2016-10-12,7,1.69,3.8,6.95,11.35,1.64,1.15,11.15,14.52,25.32,84.18,21.31,1003.39,
2016-10-12,8,2.11,8.09,8.58,16.67,1.65,1.09,16.16,31.47,26.03,82.98,86.83,1004.01,
2016-10-12,9,2.14,4.45,7.64,12.08,1.66,1.26,20.97,46.97,26.46,82.68,176.99,1004.53,0.52
2016-10-12,10,2.11,4.42,8.6,13.02,1.67,1.54,20.24,46.03,27.32,83.03,227.3,1004.37,
2016-10-12,11,4.09,5.16,9.24,14.39,1.68,1.51,27.84,47.11,27.51,82.91,99.69,1004.29,1.09
2016-10-12,12,3.27,9.07,7.5,16.58,1.69,2.54,23.06,50.47,28.13,82.85,475.56,1003.75,
2016-10-12,13,1.26,1.43,6.52,7.95,1.71,4.1,24.68,32.5,29.29,75.3,640.42,1003.52,
2016-10-12,14,0.32,1.53,7.61,9.14,1.61,4.97,15,49.97,30.27,69.34,612.11,1002.81,
2016-10-12,15,1.16,0.34,8.05,8.39,1.48,5.48,15.06,48.86,31.01,64.22,545.61,1002.2,
2016-10-12,16,1.47,0.53,12.16,12.68,1.49,5.68,17.1,44.09,31.24,63.63,448.32,1002.28,
